ID,Current Role,Average Salary (USD),Careers Switch,Industry,Favorite Programming Language,Salary Satisfaction,Work/Balance Satisfaction,Coworkers Satisfaction,Management Satisfaction,Upward Mobility Satisfaction,Learning New Things Satisfaction,Difficulty to Break,Most Important Thing,Gender,Age,Country,Level of Education,Ethnicity
306,Data Engineer,137500.0,Yes,Healthcare and Biotechnology,Python,6.0,3.0,9.0,5.0,8.0,8.0,Neither easy nor difficult,Work Environment Preferences,Female,38,United States,Masters,White or Caucasian
307,None,20000.0,Yes,Education and Social Sciences,SQL,0.0,3.0,3.0,3.0,4.0,4.0,Neither easy nor difficult,Compensation and Benefits,Female,20,Nigeria,High School,Black or African American
308,Data Analyst,75500.0,No,Education,SQL,4.0,6.0,7.0,7.0,2.0,2.0,Neither easy nor difficult,Work Environment Preferences,Female,45,United States,Masters,Black or African American
309,Data Analyst,95500.0,No,Marketing and Advertising,Python,5.0,3.0,5.0,6.0,6.0,4.0,Difficult,Work-Life Balance,Male,27,Canada,Masters,Asian
310,Data Analyst,53000.0,Yes,Professional Services,Python,3.0,7.0,7.0,7.0,7.0,6.0,Difficult,Work Environment,Male,28,Canada,Masters,Asian
311,None,20000.0,Yes,Other,R,2.0,10.0,10.0,10.0,10.0,3.0,Neither easy nor difficult,Work Environment Preferences,Female,29,Germany,Bachelors,European
312,PMO,53000.0,No,Technology and Information Technology,C/C++,7.0,7.0,7.0,7.0,7.0,7.0,Neither easy nor difficult,Compensation and Benefits,Female,43,Singapore,High School,Asian
313,Data Analyst,20000.0,Yes,Finance and Banking,Python,0.0,5.0,9.0,9.0,0.0,10.0,Neither easy nor difficult,Work Environment Preferences,Male,26,Antigua and Barbuda,Bachelors,Black or African American
314,None,53000.0,No,Technology and Information Technology,SQL,7.0,8.0,7.0,7.0,8.0,7.0,Neither easy nor difficult,Various,Female,47,United States,Bachelors,Black or African American
315,None,20000.0,Yes,Finance and Banking,Python,Unknown,Unknown,Unknown,8.0,10.0,10.0,Easy,Work Environment Preferences,Male,23,Nigeria,Bachelors,Black or African American
316,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,0.0,1.0,1.0,1.0,1.0,2.0,Very Difficult,Compensation and Benefits,Male,25,Egypt,Bachelors,African
317,System Administrator,20000.0,No,Finance and Banking,Python,6.0,6.0,3.0,7.0,2.0,4.0,Very Difficult,Professional Development,Male,32,Poland,Masters,White or Caucasian
318,Data Analyst,20000.0,Yes,Finance and Banking,Python,1.0,10.0,10.0,5.0,3.0,1.0,Neither easy nor difficult,Compensation and Benefits,Female,25,United States,Bachelors,White or Caucasian
319,Data Analyst,20000.0,No,Finance and Banking,Python,1.0,2.0,10.0,1.0,2.0,8.0,Difficult,Work Environment Preferences,Female,29,Venezuela,Bachelors,Hispanic or Latino
320,Data Analyst,53000.0,No,Healthcare and Biotechnology,SQL,3.0,7.0,5.0,5.0,3.0,3.0,Neither easy nor difficult,Compensation and Benefits,Female,33,United States,Bachelors,Asian
321,Data Analyst,115500.0,No,Education,Python,6.0,10.0,10.0,10.0,7.0,6.0,Easy,Professional Development,Male,36,United States,Masters,Asian
322,Data Analyst,53000.0,Yes,Healthcare and Biotechnology,Python,4.0,10.0,9.0,3.0,0.0,10.0,Difficult,Work-Life Balance,Male,25,United States,Bachelors,White or Caucasian
323,Data Scientist,187500.0,No,Other,Python,8.0,7.0,8.0,7.0,7.0,8.0,Neither easy nor difficult,Work-Life Balance,Male,38,United States,Masters,White or Caucasian
324,Data Analyst,75500.0,Yes,Energy and Utilities,R,3.0,2.0,6.0,6.0,5.0,4.0,Difficult,Work-Life Balance,Male,30,United States,Masters,Bi-racial/Multi-racial
325,Data Analyst,53000.0,Yes,Technology and Information Technology,Python,3.0,5.0,6.0,6.0,6.0,7.0,Difficult,Work Environment,Male,35,United States,Masters,Black or African American
326,Teacher,53000.0,No,Education,SQL,0.0,1.0,10.0,5.0,0.0,0.0,Difficult,Compensation and Benefits,Female,42,United States,Bachelors,White or Caucasian
327,Data Analyst,75500.0,Yes,Healthcare and Biotechnology,Python,3.0,5.0,4.0,6.0,4.0,6.0,Easy,Work Environment Preferences,Male,30,United States,Masters,White or Caucasian
328,None,20000.0,Yes,Other,Python,0.0,0.0,0.0,0.0,0.0,4.0,Very Difficult,Compensation and Benefits,Female,25,Nigeria,Bachelors,Black or African American
329,Data Analyst,95500.0,No,Healthcare and Biotechnology,Python,5.0,9.0,5.0,2.0,5.0,1.0,Difficult,Work Environment,Female,28,United States,Bachelors,Asian
330,Data Analyst,20000.0,Yes,Manufacturing and Industrial,Python,5.0,10.0,8.0,5.0,7.0,10.0,Very Difficult,Various,Male,28,Canada,Bachelors,Asian
331,None,20000.0,No,Other,SQL,0.0,0.0,0.0,0.0,0.0,0.0,Neither easy nor difficult,Compensation and Benefits,Male,20,Malaysia,High School,Asian
332,Data Analyst,115500.0,Yes,Construction and Real Estate,VBA,7.0,8.0,7.0,7.0,10.0,10.0,Easy,Work Environment,Male,33,United States,Masters,Hispanic or Latino
333,Data Analyst,75500.0,No,Technology and Information Technology,Python,8.0,6.0,7.0,7.0,8.0,8.0,Easy,Compensation and Benefits,Male,23,United States,Associates,White or Caucasian
334,Data Analyst,20000.0,Yes,Healthcare and Biotechnology,R,4.0,5.0,7.0,7.0,5.0,7.0,Neither easy nor difficult,Compensation and Benefits,Female,35,Brazil,Bachelors,Hispanic or Latino
335,None,20000.0,Yes,Manufacturing and Industrial,Python,2.0,2.0,3.0,3.0,2.0,3.0,Difficult,Work-Life Balance,Male,22,India,Bachelors,Asian
336,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,5.0,10.0,5.0,6.0,6.0,8.0,Very Difficult,Compensation and Benefits,Male,33,India,Bachelors,Asian
337,Data Engineer,20000.0,No,Construction and Real Estate,Python,1.0,7.0,7.0,7.0,1.0,2.0,Very Easy,Compensation and Benefits,Male,22,United States,Bachelors,White or Caucasian
338,Data Analyst,95500.0,Yes,Logistics and Distribution,R,7.0,8.0,8.0,7.0,5.0,9.0,Neither easy nor difficult,Work Environment Preferences,Male,35,United States,Bachelors,White or Caucasian
339,Data Analyst,75500.0,Yes,Agriculture,SQL,8.0,5.0,6.0,4.0,4.0,8.0,Easy,Work-Life Balance,Female,37,United States,Masters,White or Caucasian
340,None,20000.0,Yes,Finance and Banking,Python,4.0,Unknown,Unknown,Unknown,Unknown,Unknown,Very Easy,Compensation and Benefits,Male,22,United States,Associates,Prefer not to say
341,Data Analyst,75500.0,Yes,Healthcare and Biotechnology,Python,10.0,10.0,10.0,7.0,10.0,10.0,Neither easy nor difficult,Compensation and Benefits,Male,36,United States,Masters,White or Caucasian
342,Data Scientist,95500.0,Yes,Consumer Goods,Python,6.0,5.0,8.0,8.0,7.0,9.0,Easy,Work-Life Balance,Male,26,India,Bachelors,Hispanic or Latino
343,Data Analyst,20000.0,Yes,Marketing and Advertising,R,3.0,2.0,6.0,5.0,5.0,6.0,Neither easy nor difficult,Work Environment,Female,25,South Korea,Bachelors,Asian
344,Data Analyst,53000.0,Yes,Non-Profit and Social Services,R,4.0,6.0,6.0,5.0,5.0,6.0,Neither easy nor difficult,Work Environment Preferences,Female,34,United States,High School,White or Caucasian
345,Data Analyst,20000.0,Yes,Food and Beverage,Python,4.0,8.0,8.0,8.0,7.0,8.0,Difficult,Work Environment Preferences,Male,33,Chile,Bachelors,Hispanic or Latino
346,None,53000.0,No,Retail and E-commerce,Python,0.0,4.0,0.0,1.0,4.0,2.0,Very Difficult,Work-Life Balance,Male,37,United States,Bachelors,White or Caucasian
347,Data Analyst,75500.0,No,Marketing and Advertising,Python,5.0,5.0,7.0,6.0,4.0,6.0,Very Easy,Compensation and Benefits,Female,54,United States,High School,White or Caucasian
348,Data Analyst,20000.0,Yes,Finance and Banking,Python,2.0,Unknown,Unknown,Unknown,Unknown,Unknown,Very Easy,Compensation and Benefits,Male,26,India,Bachelors,Asian
349,Data Analyst,53000.0,No,Education,R,4.0,7.0,7.0,7.0,2.0,7.0,Neither easy nor difficult,Compensation and Benefits,Female,27,United States,Masters,Hispanic or Latino
350,Database Developer,20000.0,Yes,Telecommunications,SQL,2.0,3.0,6.0,6.0,3.0,5.0,Difficult,Compensation and Benefits,Male,24,United Kingdom,Bachelors,White or Caucasian
351,Data Analyst,20000.0,Yes,Finance and Banking,Python,5.0,5.0,5.0,5.0,5.0,10.0,Neither easy nor difficult,Compensation and Benefits,Male,24,Egypt,Bachelors,White or Caucasian
352,Consultant,20000.0,Yes,Professional Services,Python,3.0,4.0,5.0,3.0,2.0,3.0,Neither easy nor difficult,Compensation and Benefits,Male,27,Panama,Bachelors,White or Caucasian
353,None,20000.0,No,Other,Python,0.0,0.0,0.0,0.0,0.0,0.0,Very Difficult,Work Environment Preferences,Male,25,Indonesia,Bachelors,Asian
354,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,1.0,7.0,7.0,7.0,7.0,1.0,Difficult,Compensation and Benefits,Female,28,United Kingdom,Masters,Black or African American
355,Developer,53000.0,No,Education,Python,3.0,6.0,5.0,5.0,3.0,4.0,Easy,Work Environment Preferences,Male,21,United States,Bachelors,Asian
356,Data Analyst,95500.0,Yes,Healthcare and Biotechnology,None,4.0,4.0,5.0,5.0,4.0,6.0,Difficult,Work-Life Balance,Female,28,United States,Bachelors,White or Caucasian
357,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,3.0,5.0,5.0,5.0,5.0,2.0,Neither easy nor difficult,Work Environment Preferences,Male,30,Ghana,Masters,Black or African American
358,Data Analyst,20000.0,No,Education,Python,0.0,10.0,0.0,9.0,5.0,10.0,Easy,Work Environment Preferences,Male,24,Angola,Associates,Black or African American
359,Data Analyst,20000.0,Yes,Healthcare and Biotechnology,Python,7.0,4.0,6.0,5.0,6.0,6.0,Difficult,Work Environment Preferences,Male,26,India,Bachelors,Asian
360,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,Unknown,Unknown,Unknown,Unknown,Unknown,5.0,Neither easy nor difficult,Work-Life Balance,Female,19,Bangladesh,High School,Asian
361,None,20000.0,No,Service Industry,Python,5.0,6.0,6.0,5.0,1.0,3.0,Neither easy nor difficult,Work-Life Balance,Female,92,India,Masters,Asian
362,Data Analyst,20000.0,Yes,Healthcare and Biotechnology,Python,1.0,8.0,5.0,1.0,7.0,8.0,Neither easy nor difficult,Work Environment Preferences,Male,28,Nigeria,Bachelors,Black or African American
363,None,20000.0,Yes,Education,Python,0.0,1.0,2.0,2.0,1.0,1.0,Neither easy nor difficult,Compensation and Benefits,Female,24,India,Masters,Asian
364,Specialist,53000.0,No,Healthcare and Biotechnology,Python,7.0,10.0,10.0,10.0,5.0,10.0,Easy,Compensation and Benefits,Male,25,United States,Masters,Asian
365,Data Analyst,53000.0,Yes,Finance and Banking,Python,4.0,5.0,5.0,5.0,6.0,6.0,Neither easy nor difficult,Work-Life Balance,Male,42,United Kingdom,Masters,Black or African American
366,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,2.0,3.0,3.0,3.0,3.0,3.0,Difficult,Compensation and Benefits,Male,21,India,Bachelors,Asian
367,Data Analyst,75500.0,No,Healthcare and Biotechnology,Python,7.0,8.0,9.0,7.0,7.0,6.0,Easy,Compensation and Benefits,Male,24,United States,Bachelors,White or Caucasian
368,Data Analyst,53000.0,Yes,Healthcare and Biotechnology,Python,4.0,7.0,6.0,6.0,6.0,7.0,Neither easy nor difficult,Compensation and Benefits,Female,26,United States,Bachelors,White or Caucasian
369,Data Analyst,20000.0,Yes,Health and Beauty,Python,2.0,8.0,8.0,9.0,8.0,10.0,Difficult,Compensation and Benefits,Male,30,United Kingdom,Bachelors,White or Caucasian
370,Data Engineer,95500.0,Yes,Advertising and Marketing,SQL,6.0,10.0,10.0,10.0,10.0,10.0,Neither easy nor difficult,Work Environment,Male,27,United States,Bachelors,Black or African American
371,Data Engineer,20000.0,Yes,Technology and Information Technology,Python,0.0,4.0,1.0,0.0,1.0,3.0,Easy,Compensation and Benefits,Male,28,India,Bachelors,Asian
372,Data Analyst,75500.0,No,Construction and Real Estate,SQL,6.0,8.0,7.0,7.0,5.0,6.0,Easy,Compensation and Benefits,Female,29,United Kingdom,Bachelors,White or Caucasian
373,Data Analyst,20000.0,No,Consumer Goods and Home Living,Python,0.0,0.0,0.0,0.0,0.0,0.0,Easy,Work-Life Balance,Female,26,India,Bachelors,Asian
374,Data Engineer,20000.0,Yes,Finance and Banking,Python,3.0,3.0,3.0,3.0,3.0,4.0,Neither easy nor difficult,Work Environment Preferences,Male,29,Nigeria,Bachelors,Black or African American
375,Analyst,75500.0,No,Finance and Banking,None,3.0,5.0,7.0,2.0,5.0,7.0,Easy,Work Environment Preferences,Male,60,United Kingdom,Masters,White or Caucasian
376,Data Analyst,20000.0,Yes,Healthcare and Biotechnology,Python,5.0,8.0,8.0,5.0,5.0,6.0,Neither easy nor difficult,Compensation and Benefits,Male,25,Nigeria,Bachelors,Black or African American
377,Analyst,20000.0,No,Construction and Real Estate,R,0.0,0.0,1.0,3.0,2.0,1.0,Neither easy nor difficult,Work-Life Balance,Female,37,Nigeria,Masters,African
378,Data Analyst,75500.0,Yes,Finance and Banking,Python,6.0,8.0,3.0,4.0,5.0,1.0,Neither easy nor difficult,Compensation and Benefits,Female,30,Canada,Bachelors,Asian
379,Data Analyst,20000.0,Yes,Healthcare and Biotechnology,Python,0.0,1.0,2.0,1.0,0.0,3.0,Neither easy nor difficult,Compensation and Benefits,Female,27,Nigeria,Masters,Black or African American
380,Data Scientist,225000.0,Yes,Technology and Information Technology,R,5.0,6.0,5.0,5.0,6.0,6.0,Difficult,Work Environment Preferences,Male,31,United States,PhD,White or Caucasian
381,None,20000.0,No,Other,R,10.0,10.0,10.0,10.0,10.0,10.0,Neither easy nor difficult,Work-Life Balance,Male,24,United Kingdom,Masters,Asian
382,Data Analyst,20000.0,No,Finance and Banking,MATLAB,0.0,6.0,6.0,6.0,5.0,6.0,Neither easy nor difficult,Compensation and Benefits,Female,20,United States,Bachelors,Black or African American
383,Developer,20000.0,No,Technology and Information Technology,R,2.0,1.0,4.0,1.0,1.0,1.0,Easy,Work-Life Balance,Male,24,India,Bachelors,Asian
384,None,20000.0,Yes,Manufacturing and Industrial,R,3.0,6.0,7.0,6.0,4.0,4.0,Neither easy nor difficult,Work-Life Balance,Male,24,Romania,Bachelors,White or Caucasian
385,None,20000.0,No,Other,R,0.0,1.0,3.0,0.0,0.0,0.0,Neither easy nor difficult,Work-Life Balance,Male,41,Spain,Bachelors,Hispanic or Latino
386,Data Analyst,95500.0,Yes,Technology and Information Technology,R,8.0,8.0,8.0,8.0,8.0,8.0,Difficult,Compensation and Benefits,Male,41,United States,Bachelors,White or Caucasian
387,Manager,187500.0,No,Retail and E-commerce,Python,9.0,8.0,9.0,10.0,8.0,10.0,Neither easy nor difficult,Work Environment,Male,43,United States,Bachelors,White or Caucasian
388,Data Analyst,75500.0,No,Healthcare and Biotechnology,Python,7.0,7.0,8.0,4.0,6.0,9.0,Easy,Work Environment Preferences,Female,38,United States,Bachelors,White or Caucasian
389,Data Analyst,20000.0,Yes,Retail and E-commerce,Python,5.0,5.0,5.0,5.0,5.0,6.0,Neither easy nor difficult,Compensation and Benefits,Female,28,Philippines,Bachelors,Asian
390,Data Analyst,95500.0,Yes,Healthcare and Biotechnology,Python,10.0,8.0,6.0,10.0,7.0,5.0,Neither easy nor difficult,Work Environment,Female,31,Germany,Bachelors,Hispanic or Latino
391,Data Analyst,95500.0,Yes,Government and Public Sector,SQL,8.0,7.0,8.0,6.0,7.0,8.0,Difficult,Work-Life Balance,Female,28,United States,Masters,White or Caucasian
392,Data Analyst,53000.0,No,Healthcare and Biotechnology,C/C++,7.0,8.0,9.0,9.0,4.0,9.0,Easy,Work Environment Preferences,Male,23,United States,Masters,Asian
393,Data Analyst,53000.0,No,Energy and Utilities,Python,5.0,5.0,4.0,5.0,6.0,6.0,Neither easy nor difficult,Compensation and Benefits,Male,25,United Kingdom,Bachelors,Black or African American
394,Engineer,20000.0,No,Technology and Information Technology,R,2.0,5.0,2.0,8.0,9.0,10.0,Difficult,Work Environment Preferences,Male,26,Poland,Masters,White or Caucasian
395,Data Scientist,137500.0,Yes,Finance and Banking,Python,9.0,4.0,8.0,7.0,5.0,6.0,Difficult,Work-Life Balance,Male,35,United States,Bachelors,White or Caucasian
396,Data Analyst,115500.0,Yes,Retail and E-commerce,R,8.0,9.0,9.0,7.0,8.0,8.0,Neither easy nor difficult,Work Environment Preferences,Male,30,Denmark,Masters,White or Caucasian
397,Data Analyst,95500.0,Yes,Technology and Information Technology,R,3.0,Unknown,Unknown,Unknown,Unknown,Unknown,Neither easy nor difficult,Compensation and Benefits,Male,35,United Kingdom,Bachelors,White or Caucasian
398,Data Analyst,20000.0,Yes,Telecommunications,Python,0.0,8.0,5.0,5.0,2.0,2.0,Easy,Compensation and Benefits,Male,28,Panama,Bachelors,Hispanic or Latino
399,None,20000.0,No,Technology and Information Technology,Python,0.0,2.0,3.0,3.0,2.0,3.0,Easy,Work-Life Balance,Female,24,Nigeria,Bachelors,Black or African American
400,Data Analyst,53000.0,Yes,Technology and Information Technology,Python,8.0,10.0,7.0,5.0,6.0,5.0,Neither easy nor difficult,Work Environment,Female,34,United States,Bachelors,White or Caucasian
401,Data Analyst,53000.0,Yes,Technology and Information Technology,Python,3.0,5.0,4.0,5.0,3.0,6.0,Neither easy nor difficult,Work-Life Balance,Female,31,Germany,Masters,White or Caucasian
402,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,0.0,0.0,0.0,0.0,0.0,0.0,Difficult,Work-Life Balance,Male,30,United Kingdom,Masters,Asian
403,Data Engineer,95500.0,Yes,Logistics and Distribution,JavaScript,4.0,4.0,1.0,6.0,1.0,5.0,Difficult,Compensation and Benefits,Male,40,United Kingdom,Bachelors,White or Caucasian
404,Data Analyst,53000.0,No,Professional Services,R,4.0,10.0,10.0,10.0,8.0,6.0,Very Difficult,Compensation and Benefits,Male,26,United States,Bachelors,Hispanic or Latino
405,Data Analyst,137500.0,No,Healthcare and Biotechnology,R,9.0,9.0,6.0,6.0,6.0,7.0,Neither easy nor difficult,Work Environment,Male,25,United States,Bachelors,White or Caucasian
406,Data Analyst,20000.0,Yes,Maritime and Shipping,SQL,Unknown,5.0,8.0,4.0,8.0,4.0,Easy,Work Environment,Male,45,Greece,Associates,White or Caucasian
407,Data Analyst,53000.0,No,Finance and Banking,R,7.0,9.0,8.0,6.0,6.0,9.0,Neither easy nor difficult,Work Environment,Male,26,United States,Masters,Black or African American
408,Data Scientist,20000.0,No,Finance and Banking,Python,7.0,7.0,8.0,6.0,6.0,4.0,Neither easy nor difficult,Work-Life Balance,Male,26,India,Masters,Asian
409,Researcher,20000.0,Yes,Finance and Banking,Python,3.0,2.0,4.0,2.0,2.0,3.0,Difficult,Compensation and Benefits,Male,23,India,Masters,Asian
410,Data Engineer,115500.0,Yes,Technology and Information Technology,Python,4.0,4.0,4.0,4.0,5.0,6.0,Neither easy nor difficult,Work-Life Balance,Male,25,India,Masters,Asian
411,Data Analyst,53000.0,Yes,Healthcare and Biotechnology,R,4.0,5.0,6.0,6.0,5.0,6.0,Neither easy nor difficult,Compensation and Benefits,Female,33,United States,High School,White or Caucasian
412,Analyst,20000.0,No,Retail and E-commerce,SQL,6.0,3.0,3.0,6.0,6.0,4.0,Very Easy,Professional Development,Male,33,India,Bachelors,Asian
413,Data Analyst,95500.0,Yes,Healthcare and Biotechnology,R,7.0,8.0,7.0,8.0,3.0,4.0,Easy,Work Environment,Male,27,United States,Bachelors,White or Caucasian
414,Data Analyst,115500.0,Yes,Technology and Information Technology,Python,9.0,9.0,9.0,8.0,8.0,9.0,Difficult,Work Environment Preferences,Female,28,United States,Masters,Hispanic or Latino
415,Data Analyst,75500.0,Yes,Technology and Information Technology,Python,5.0,6.0,7.0,6.0,6.0,7.0,Very Easy,Compensation and Benefits,Male,32,United States,Bachelors,Hispanic or Latino
416,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,2.0,6.0,3.0,6.0,6.0,7.0,Neither easy nor difficult,Compensation and Benefits,Male,35,India,Masters,Asian
417,Data Analyst,95500.0,Yes,Construction and Real Estate,Python,8.0,9.0,10.0,10.0,9.0,10.0,Neither easy nor difficult,Work Environment,Male,34,United States,Masters,Hispanic or Latino
418,Data Analyst,53000.0,No,Technology and Electronics,Python,9.0,8.0,3.0,5.0,2.0,4.0,Easy,Compensation and Benefits,Male,27,Germany,Masters,White or Caucasian
419,Database Coordinator,75500.0,Yes,Education,R,4.0,5.0,5.0,3.0,3.0,4.0,Easy,Work Environment,Female,30,United States,Masters,White or Caucasian
420,Data Analyst,75500.0,No,Logistics and Distribution,Python,8.0,9.0,9.0,9.0,9.0,10.0,Neither easy nor difficult,Compensation and Benefits,Male,34,United States,Masters,White or Caucasian
421,Data Analyst,53000.0,No,Energy and Utilities,Python,3.0,10.0,6.0,5.0,7.0,8.0,Neither easy nor difficult,Work Environment Preferences,Female,22,United States,Bachelors,White or Caucasian
422,Data Analyst,20000.0,Yes,Finance and Banking,Python,2.0,2.0,5.0,5.0,2.0,3.0,Very Difficult,Work-Life Balance,Female,33,India,Masters,Asian
423,Data Analyst,20000.0,No,Finance and Banking,Python,8.0,9.0,9.0,9.0,9.0,9.0,Neither easy nor difficult,Compensation and Benefits,Female,26,India,Masters,Asian
424,Data Engineer,20000.0,Yes,Technology and Information Technology,Python,0.0,5.0,8.0,6.0,5.0,7.0,Neither easy nor difficult,Compensation and Benefits,Male,28,Argentina,Bachelors,Hispanic or Latino
425,Driver,20000.0,No,Transportation and Logistics,Python,2.0,2.0,7.0,4.0,8.0,1.0,Difficult,Work Environment Preferences,Male,42,United Kingdom,Bachelors,Black or African American
426,Data Analyst,20000.0,No,Urban Planning and Development,R,4.0,10.0,2.0,3.0,2.0,3.0,Neither easy nor difficult,Compensation and Benefits,Male,30,Morocco,Masters,African
427,Data Scientist,115500.0,Yes,Technology and Information Technology,SQL,10.0,9.0,8.0,8.0,9.0,10.0,Difficult,Compensation and Benefits,Male,25,United States,Associates,White or Caucasian
428,Data Analyst,53000.0,Yes,Construction and Real Estate,Python,4.0,6.0,6.0,6.0,5.0,7.0,Easy,Compensation and Benefits,Male,32,United States,Bachelors,Black or African American
429,Data Analyst,20000.0,No,Technology and Information Technology,Python,3.0,4.0,5.0,5.0,6.0,6.0,Neither easy nor difficult,Compensation and Benefits,Male,31,Germany,Masters,Asian
430,Data Analyst,187500.0,Yes,Education,Python,8.0,7.0,5.0,4.0,7.0,7.0,Easy,Work Environment Preferences,Male,30,United Arab Emirates,High School,White or Caucasian
431,None,20000.0,Yes,Retail and E-commerce,Python,0.0,6.0,6.0,2.0,0.0,3.0,Neither easy nor difficult,Compensation and Benefits,Male,23,Canada,Bachelors,Asian
432,Manager,75500.0,No,Education,R,7.0,7.0,6.0,7.0,6.0,6.0,Easy,Work Environment Preferences,Female,31,United Kingdom,Bachelors,White or Caucasian
433,Data Analyst,53000.0,No,Aerospace and Defense,Python,7.0,5.0,9.0,9.0,4.0,9.0,Neither easy nor difficult,Work-Life Balance,Female,29,Finland,Masters,Black or African American
434,Data Analyst,20000.0,Yes,Technology and Information Technology,Python,5.0,4.0,4.0,5.0,7.0,10.0,Neither easy nor difficult,Work Environment Preferences,Male,24,Nigeria,Bachelors,African
435,Analyst,53000.0,No,Government and Public Sector,Python,2.0,7.0,6.0,5.0,6.0,4.0,Neither easy nor difficult,Compensation and Benefits,Male,36,United States,Masters,Asian
436,Data Analyst,53000.0,Yes,Construction and Real Estate,R,4.0,6.0,6.0,6.0,6.0,6.0,Difficult,Work Environment Preferences,Female,32,United States,Masters,White or Caucasian
437,Analyst,95500.0,Yes,Healthcare and Biotechnology,Python,8.0,9.0,7.0,7.0,7.0,9.0,Difficult,Work Environment Preferences,Female,36,United States,Bachelors,White or Caucasian
438,Data Engineer,115500.0,No,Healthcare and Biotechnology,SQL,8.0,6.0,5.0,2.0,3.0,2.0,Easy,Compensation and Benefits,Male,30,United States,Bachelors,White or Caucasian
439,None,20000.0,Yes,Other,R,0.0,2.0,2.0,3.0,3.0,4.0,Neither easy nor difficult,Work-Life Balance,Male,42,Sudan,Masters,Black or African American
440,Data Analyst,95500.0,Yes,Healthcare and Biotechnology,DAX,6.0,6.0,6.0,5.0,4.0,4.0,Easy,Work Environment Preferences,Male,53,Australia,PhD,White or Caucasian
441,Data Analyst,20000.0,No,Finance and Banking,Python,1.0,7.0,4.0,10.0,10.0,10.0,Neither easy nor difficult,Compensation and Benefits,Male,25,Kenya,High School,Asian
442,Data Analyst,20000.0,No,Healthcare and Biotechnology,Python,1.0,5.0,4.0,6.0,5.0,6.0,Neither easy nor difficult,Compensation and Benefits,Male,23,Lebanon,Bachelors,White or Caucasian
443,Data Analyst,20000.0,Yes,Agriculture,Python,2.0,1.0,3.0,3.0,3.0,4.0,Difficult,Compensation and Benefits,Male,36,Saudi Arabia,Bachelors,Arab
444,Data Analyst,53000.0,Yes,Healthcare and Biotechnology,SQL,Unknown,Unknown,Unknown,Unknown,Unknown,6.0,Easy,Work-Life Balance,Male,32,United Arab Emirates,Bachelors,African
445,Data Analyst,95500.0,No,Finance and Banking,Python,3.0,6.0,4.0,2.0,2.0,3.0,Difficult,Job Satisfaction,Male,25,United States,Masters,Hispanic or Latino
446,Data Engineer,53000.0,Yes,Technology and Information Technology,Python,4.0,4.0,3.0,4.0,4.0,5.0,Neither easy nor difficult,Work Environment Preferences,Female,35,United Kingdom,Masters,Asian
447,Data Analyst,75500.0,Yes,Technology and Electronics,R,3.0,4.0,4.0,5.0,4.0,4.0,Very Easy,Compensation and Benefits,Male,26,United States,Bachelors,White or Caucasian
448,None,20000.0,No,Technology and Information Technology,Python,2.0,7.0,9.0,7.0,3.0,3.0,Difficult,Work Environment Preferences,Male,22,United States,Bachelors,White or Caucasian
449,Data Scientist,95500.0,Yes,Manufacturing and Industrial,Python,6.0,8.0,10.0,9.0,6.0,8.0,Neither easy nor difficult,Compensation and Benefits,Male,30,Canada,Masters,Asian
450,Data Analyst,75500.0,Yes,Logistics and Distribution,Python,2.0,8.0,6.0,1.0,8.0,10.0,Neither easy nor difficult,Compensation and Benefits,Male,36,United States,Masters,White or Caucasian
451,Data Analyst,75500.0,Yes,Healthcare and Biotechnology,R,4.0,4.0,5.0,5.0,4.0,6.0,Neither easy nor difficult,Various,Female,30,United States,Masters,White or Caucasian
452,Data Scientist,115500.0,Yes,Finance and Banking,Python,9.0,8.0,10.0,10.0,10.0,10.0,Difficult,Work Environment Preferences,Male,29,United States,Bachelors,Asian
453,Analyst,75500.0,Yes,Professional Services,R,8.0,10.0,10.0,7.0,8.0,5.0,Difficult,Professional Development,Male,30,United States,Masters,White or Caucasian
454,Data Engineer,53000.0,No,Finance and Banking,Python,0.0,6.0,6.0,6.0,6.0,6.0,Very Easy,Compensation and Benefits,Male,24,United States,Bachelors,Black or African American
455,Data Engineer,225000.0,Yes,Technology and Information Technology,SQL,3.0,3.0,4.0,4.0,3.0,5.0,Neither easy nor difficult,Compensation and Benefits,Male,33,United States,Bachelors,Asian
456,Data Analyst,115500.0,No,Food and Beverage,Python,10.0,10.0,10.0,10.0,10.0,6.0,Easy,Compensation and Benefits,Female,42,United States,Bachelors,White or Caucasian
457,Data Analyst,53000.0,Yes,Healthcare and Biotechnology,Python,1.0,10.0,10.0,8.0,10.0,3.0,Neither easy nor difficult,Compensation and Benefits,Female,36,United States,Bachelors,White or Caucasian
458,Data Analyst,53000.0,Yes,Science and Research,Python,2.0,3.0,7.0,6.0,5.0,6.0,Neither easy nor difficult,Compensation and Benefits,Male,27,United States,Bachelors,White or Caucasian
